Mailing City,Mailing State/Province,Mailing Country,Reporting Term,Program SeleConnecticution: Program SeleConnecticution Name,Admissions Status,Status
Lawrenceville,New Jersey,United States of America,Fall 2024,Criminal Justice (MA),Admit-Coming,A/C
Lakewood,New Jersey,United States of America,Fall 2024,Prevention Science (MS),Denied,Did Not A/C
Lakewood,New Jersey,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Sicklerville,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Started App,Did Not A/C
Chester,New Jersey,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Seattle,Washington,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Kennett Square,Pennsylvania,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Essex,ConneConnecticuticut,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Manlius,New York,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Admit-Withdrawn,Did Not A/C
Macon,Georgia,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Vineland,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Coming,A/C
Greenfield,Indiana,United States of America,Fall 2024,Prevention Science (MS),Denied,Did Not A/C
San Bernardino,California,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Westlake,CA,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
New York,New York,United States of America,Fall 2024,Prevention Science (MS),Denied,Did Not A/C
Independence,Missouri,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Independence,Missouri,United States of America,Fall 2024,Prevention Science (PHD),Admit-Coming,A/C
West Lafayette,Indiana,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Saint Joseph,Minnesota,United States of America,Fall 2024,Prevention Science (MS),Denied,Did Not A/C
Saint Joseph,Minnesota,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Ardsley,NY,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
New York,New York,United States of America,Fall 2024,Forensic Science (MS),Withdrawn,Did Not A/C
New York,New York,United States of America,Fall 2024,Prevention Science (MS),Withdrawn,Did Not A/C
New York,New York,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Berlin,New Jersey,United States of America,Fall 2024,Childhood Studies (MA),Admit-Coming,A/C
Murray,Kentucky,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
East Boston,MA,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Minneapolis,Minnesota,United States of America,Fall 2024,Prevention Science (MS),Denied,Did Not A/C
Salem,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Admit-Coming,A/C
Collingswood,New Jersey,United States of America,Fall 2024,Emerging Media (MPS),Admit-Coming,A/C
sicklerville,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Withdrawn,Did Not A/C
Sacramento,California,United States of America,Fall 2024,Emerging Media (MA),Withdrawn,Did Not A/C
Burlington,New Jersey,United States of America,Summer 2024,Teacher Education (MAT),Admit-Coming,A/C
New York,New York,United States of America,Fall 2024,Biology (MS),Deferred to Spring,Did Not A/C
Sacramento,California,United States of America,Fall 2024,English (MA),Admit-Withdrawn,Did Not A/C
Edison,New Jersey,United States of America,Fall 2024,Computer Science: Scientific Computing (MS),Admit-Withdrawn,Did Not A/C
Warren,New Jersey,United States of America,Fall 2024,Computer Science: Scientific Computing (MS),Admit-Coming,A/C
Lebanon,New Jersey,United States of America,Fall 2024,Liberal Studies - Online (NOD),Withdrawn,Did Not A/C
BALA CYNWYD,PA,United States of America,Fall 2024,Business and Science - Computer and Information Sciences (MBS) Camden,Denied,Did Not A/C
S Williamsport,PA,United States of America,Fall 2024,Liberal Studies - Online (MA),Admit-Coming,A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Deferred to Spring,Did Not A/C
Essington,Pennsylvania,United States of America,Fall 2024,English (MA),Admit-Withdrawn,Did Not A/C
Essington,Pennsylvania,United States of America,Fall 2024,Emerging Media (MA),Denied,Did Not A/C
Philadelphia,PA,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Withdrawn,Did Not A/C
Seattle,Washington,United States of America,Fall 2024,English (MA),Admit-Withdrawn,Did Not A/C
Seattle,Washington,United States of America,Fall 2024,Emerging Media (MA),Denied,Did Not A/C
Southgate,MI,United States of America,Fall 2024,English (MA),Admit-Withdrawn,Did Not A/C
Southgate,MI,United States of America,Fall 2024,Emerging Media (MA),Denied,Did Not A/C
Cincinnati,Ohio,United States of America,Fall 2024,English (MA),Admit-Withdrawn,Did Not A/C
Cincinnati,Ohio,United States of America,Fall 2024,Emerging Media (MA),Denied,Did Not A/C
Cherry Hill,New Jersey,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Lithia,Florida,United States of America,Fall 2024,English (MA),Deferred to Fall,Did Not A/C
Lithia,Florida,United States of America,Fall 2024,Emerging Media (MA),Denied,Did Not A/C
Staten Island,New York,United States of America,Fall 2024,Chemistry (MS),Admit-Withdrawn,Did Not A/C
Williamstown,New Jersey,United States of America,Fall 2024,English (MA),Admit-Coming,A/C
Williamstown,New Jersey,United States of America,Fall 2024,Emerging Media (MA),Denied,Did Not A/C
Flagstaff,Arizona,United States of America,Fall 2024,Biology: Computational and Integrative (MS),Admit-Withdrawn,Did Not A/C
Somerville,Massachusetts,United States of America,Fall 2024,Biology: Computational and Integrative (MS),Admit-Coming,A/C
Wenonah,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Admit-Coming,A/C
Brooklyn,NY,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Fort Lee,New Jersey,United States of America,Fall 2024,Computer Science: Scientific Computing (MS),Admit-Withdrawn,Did Not A/C
Gardiner,NY,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Lindenwold,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Admit-Coming,A/C
Bellbrook,Ohio,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Admit-Coming,A/C
Troy,New York,United States of America,Fall 2024,Mathematical Sciences (MS),Admit-Coming,A/C
Fresno,California,United States of America,Fall 2024,Prevention Science (MS),Denied,Did Not A/C
Bryn Mawr,Pennsylvania,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Admit-Withdrawn,Did Not A/C
Green Brook,New Jersey,United States of America,Fall 2024,Mathematical Sciences (MS),Admit-Coming,A/C
Brooklyn,New York,United States of America,Fall 2024,Liberal Studies - Online (MA),Admit-Withdrawn,Did Not A/C
Salem,Utah,United States of America,Fall 2024,English (MA),Denied,Did Not A/C
Salem,Utah,United States of America,Fall 2024,Emerging Media (MA),Denied,Did Not A/C
Bayonne,New Jersey,United States of America,Fall 2024,English (MA),Denied,Did Not A/C
Bayonne,New Jersey,United States of America,Fall 2024,Emerging Media (MA),Denied,Did Not A/C
Brooklyn,New York,United States of America,Fall 2024,English (MA),Denied,Did Not A/C
Brooklyn,New York,United States of America,Fall 2024,Emerging Media (MA),Denied,Did Not A/C
Leesport,Pennsylvania,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Clark,New Jersey,United States of America,Fall 2024,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Withdrawn,Did Not A/C
Plainview,New York,United States of America,Fall 2024,Computer Science: Scientific Computing (MS),Admit-Withdrawn,Did Not A/C
Brandon,Florida,United States of America,Fall 2024,Prevention Science (MS),Denied,Did Not A/C
Brandon,Florida,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Rockville,Maryland,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Monmouth JConnecticut,New Jersey,United States of America,Fall 2024,Computer Science - Accelerated Degree BS/MS (MS),Started App,Did Not A/C
Scottsdale,Arizona,United States of America,Fall 2024,Computer Science: Scientific Computing (MS),Denied,Did Not A/C
Middletown,New Jersey,United States of America,Fall 2024,Liberal Studies - Online (MA),Withdrawn,Did Not A/C
Millersburg,Pennsylvania,United States of America,Fall 2024,Biology (MS),Admit-Withdrawn,Did Not A/C
Troy,New York,United States of America,Fall 2024,Chemistry (MS),Admit-Withdrawn,Did Not A/C
Rochester,New York,United States of America,Fall 2024,Biology (MS),Admit-Withdrawn,Did Not A/C
Fresh Meadows,New York,United States of America,Fall 2024,Biology (MS),Admit-Coming,A/C
Marlton,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Withdrawn,Did Not A/C
Tabernacle,New Jersey,United States of America,Fall 2024,Mathematical Sciences (MS),Admit-Coming,A/C
Brookline,Massachusetts,United States of America,Fall 2024,Biology: Computational and Integrative (MS),Admit-Withdrawn,Did Not A/C
Mount Vernon,New York,United States of America,Fall 2024,Biology (MS),Denied,Did Not A/C
Lindenwold,New Jersey,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Admit-Withdrawn,Did Not A/C
Indianapolis,Indiana,United States of America,Fall 2024,Biology (MS),Deferred to Spring,Did Not A/C
PLAINSBORO,New Jersey,United States of America,Fall 2024,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Oakville,Connecticut,United States of America,Fall 2024,English (MA),Denied,Did Not A/C
Oakville,Connecticut,United States of America,Fall 2024,Emerging Media (MA),Denied,Did Not A/C
Chicago,Illinois,United States of America,Fall 2024,Biology (MS),Admit-Withdrawn,Did Not A/C
Highland Park,New Jersey,United States of America,Fall 2024,Emerging Media (MPS),Admit-Coming,A/C
Raleigh,NC,United States of America,Fall 2024,Data Science (MS),Started App,Did Not A/C
Medford,Massachusetts,United States of America,Fall 2024,Biology (MS),Admit-Withdrawn,Did Not A/C
Haddon Township,New Jersey,United States of America,Fall 2024,Data Science (MS),Started App,Did Not A/C
Mount Holly,New Jersey,United States of America,Fall 2024,Biology (MS),Admit-Coming,A/C
Fort Lee,New Jersey,United States of America,Fall 2024,Chemistry (MS),Denied,Did Not A/C
Portland,OR,United States of America,Fall 2024,Data Science (MS),Started App,Did Not A/C
Baton Rouge,LA,United States of America,Fall 2024,Liberal Studies - Online (MA),Started App,Did Not A/C
Somerset,New Jersey,United States of America,Fall 2024,Data Science (MS),Admit-Withdrawn,Did Not A/C
Camden,New Jersey,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Stratford,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Started App,Did Not A/C
Berlin,New Jersey,United States of America,Fall 2024,Forensic Science (MS),Admit-Coming,A/C
Mount Ephraim,New Jersey,United States of America,Fall 2024,Criminal Justice (MA),Started App,Did Not A/C
Camden,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Withdrawn,Did Not A/C
Delran,New Jersey,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Copper Canyon,TX,United States of America,Fall 2024,Biology (MS),Started App,Did Not A/C
Cherry Hill,New Jersey,United States of America,Fall 2024,Chemistry (MS),Started App,Did Not A/C
Delanco,New Jersey,United States of America,Fall 2024,Forensic Science (MS),Started App,Did Not A/C
Cherry Hill,New Jersey,United States of America,Spring 2025,Biology (NOD),Submitted App,Did Not A/C
Brooklyn,New York,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Miami,FL,United States of America,Fall 2024,English (MA),Admit-Not Coming,Did Not A/C
Miami,FL,United States of America,Fall 2024,Emerging Media (MA),Denied,Did Not A/C
Sicklerville,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Admit-Coming,A/C
Huntingdon Valley,PA,United States of America,Fall 2024,Data Science (MS),Started App,Did Not A/C
Newark,Delaware,United States of America,Fall 2024,Biology (MS),Denied,Did Not A/C
Piscataway,New Jersey,United States of America,Fall 2024,Biology (MS),Admit-Withdrawn,Did Not A/C
Paterson,New Jersey,United States of America,Spring 2025,Forensic Science (MS),Submitted App,Did Not A/C
Atlantic City,New Jersey,United States of America,Spring 2025,Biology (MS),Admit-Withdrawn,Did Not A/C
Los Angeles,CA,United States of America,Fall 2024,English (MA),Admit-Withdrawn,Did Not A/C
Los Angeles,CA,United States of America,Fall 2024,Emerging Media (MA),Denied,Did Not A/C
Sewell,New Jersey,United States of America,Fall 2024,Biology (MS),Admit-Withdrawn,Did Not A/C
Sewell,New Jersey,United States of America,Fall 2024,Chemistry (MS),Admit-Withdrawn,Did Not A/C
Sewell,New Jersey,United States of America,Fall 2024,Biology: Computational and Integrative (MS),Admit-Not Coming,Did Not A/C
Westfield,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Coming,A/C
Hillsborough,New Jersey,United States of America,Spring 2025,Biology (MS),Admit,Did Not A/C
Newark,New Jersey,United States of America,Fall 2024,Data Science (MS),Denied,Did Not A/C
Sicklerville,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Withdrawn,Did Not A/C
Middletown,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Coming,A/C
Berlin,New Jersey,United States of America,Fall 2024,Childhood Studies (MA),Withdrawn,Did Not A/C
Princeton JunConnecticution,New Jersey,United States of America,Fall 2024,Forensic Science (MS),Admit-Coming,A/C
West Deptford,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Coming,A/C
Kintnersville,PA,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Belford,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Withdrawn,Did Not A/C
Poughkeepsie,New York,United States of America,Fall 2024,Biology (MS),Admit-Not Coming,Did Not A/C
Edinburg,Texas,United States of America,Fall 2024,Chemistry (MS),Admit-Not Coming,Did Not A/C
New York,New York,United States of America,Fall 2024,Biology: Computational and Integrative (MS),Admit-Withdrawn,Did Not A/C
Essex Fells,New Jersey,United States of America,Fall 2024,Biology: Computational and Integrative (MS),Admit-Withdrawn,Did Not A/C
Blackwood,New Jersey,United States of America,Spring 2025,Biology (NOD),Started App,Did Not A/C
Tampa,Florida,United States of America,Fall 2024,Biology: Computational and Integrative (MS),Admit-Withdrawn,Did Not A/C
Great Neck,New York,United States of America,Fall 2024,English (MA),Admit-Withdrawn,Did Not A/C
Great Neck,New York,United States of America,Fall 2024,Emerging Media (MA),Denied,Did Not A/C
Somerdale,New Jersey,United States of America,Spring 2025,Chemistry - Accelerated BA/MS (MS),Deferred to Fall,Did Not A/C
Farmington Hills,Michigan,United States of America,Fall 2024,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Chicago,Illinois,United States of America,Fall 2024,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Haledon,New Jersey,United States of America,Spring 2025,Forensic Science (MS),Submitted App,Did Not A/C
Los Angeles,California,United States of America,Fall 2024,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Kirksville,Missouri,United States of America,Fall 2024,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Shillington,Pennsylvania,United States of America,Fall 2024,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Union,New Jersey,United States of America,Fall 2024,Liberal Studies - Online (MA),Admit-Coming,A/C
Denton,TX,United States of America,Spring 2025,Data Science (MS),Started App,Did Not A/C
Diamond Bar,California,United States of America,Fall 2024,Biology (MS),Admit-Coming,A/C
St Paul,Minnesota,United States of America,Fall 2024,Computer Science: Scientific Computing (MS),Admit-Withdrawn,Did Not A/C
St Paul,Minnesota,United States of America,Fall 2024,Data Science (MS),Admit-Withdrawn,Did Not A/C
St Paul,Minnesota,United States of America,Fall 2024,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Jersey City,New Jersey,United States of America,Fall 2024,Biology: Computational and Integrative (MS),Denied,Did Not A/C
Jersey City,New Jersey,United States of America,Fall 2024,Chemistry (MS),Denied,Did Not A/C
Newark,New Jersey,United States of America,Fall 2024,English (MA),Admit-Coming,A/C
Newark,New Jersey,United States of America,Fall 2024,Emerging Media (MA),Denied,Did Not A/C
oaklyn,New Jersey,United States of America,Fall 2024,Emerging Media (MA),Admit-Coming,A/C
Burlington,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Coming,A/C
Palmerton,PA,United States of America,Fall 2024,Liberal Studies - Online (MA),Denied,Did Not A/C
Sewell,New Jersey,United States of America,Spring 2025,Childhood Studies (MA),Complete App,Did Not A/C
Baltimore,MD,United States of America,Spring 2025,Data Science (MS),Denied,Did Not A/C
Fanwood,New Jersey,United States of America,Fall 2024,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Louisville,KY,United States of America,Spring 2025,Biology: Computational and Integrative (PHD),Complete App,Did Not A/C
Camden,New Jersey,United States of America,Fall 2024,Emerging Media (MA),Admit-Coming,A/C
Cherry Hill,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Coming,A/C
Teaneck,New Jersey,United States of America,Fall 2024,Childhood Studies (MA),Denied,Did Not A/C
Teaneck,New Jersey,United States of America,Fall 2024,Criminal Justice (MA),Denied,Did Not A/C
Teaneck,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Withdrawn,Did Not A/C
New Haven,ConneConnecticuticut,United States of America,Fall 2024,Data Science (MS),Admit-Withdrawn,Did Not A/C
Yonkers,NY,United States of America,Fall 2024,Liberal Studies - Online (MA),Started App,Did Not A/C
Middletown,ConneConnecticuticut,United States of America,Fall 2024,Liberal Studies - Online (MA),Withdrawn,Did Not A/C
Wilmington,Delaware,United States of America,Fall 2024,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Willingboro,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Coming,A/C
Stratford,New Jersey,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Admit-Not Coming,Did Not A/C
Beaverton,OR,United States of America,Fall 2024,Liberal Studies (MA),Admit-Coming,A/C
Monmouth JunConnecticution,New Jersey,United States of America,Spring 2025,Data Science (MS),Admit-Coming,A/C
Hamilton Square,New Jersey,United States of America,Fall 2024,English (MA),Admit-Not Coming,Did Not A/C
Saint Louis,MO,United States of America,Fall 2024,Teacher Education - Spanish (MAT),Withdrawn,Did Not A/C
Monroe Township,New Jersey,United States of America,Spring 2025,Data Science (MS),Started App,Did Not A/C
Alexandria,VA,United States of America,Fall 2024,Liberal Studies - Online (MA),Admit-Coming,A/C
Collingdale,PA,United States of America,Fall 2024,Forensic Science (MS),Withdrawn,Did Not A/C
Camden,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Coming,A/C
Springfield,New Jersey,United States of America,Fall 2024,Liberal Studies - Online (MA),Started App,Did Not A/C
Maple Shade,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Withdrawn,Did Not A/C
New York,New York,United States of America,Spring 2025,Biology (MS),Admit-Coming,A/C
Perkasie,PA,United States of America,Spring 2025,Criminal Justice (MA),Submitted App,Did Not A/C
New York,New York,United States of America,Fall 2024,Public Affairs/Community Development (MS),Withdrawn,Did Not A/C
Watsonville,California,United States of America,Fall 2024,Childhood Studies (MA),Admit-Withdrawn,Did Not A/C
Watsonville,California,United States of America,Fall 2024,Criminal Justice (MA),Admit-Coming,A/C
Watsonville,California,United States of America,Fall 2024,English (MA),Admit-Withdrawn,Did Not A/C
Lawrenceville,New Jersey,United States of America,Fall 2024,Biology (MS),Withdrawn,Did Not A/C
Camden,New Jersey,United States of America,Spring 2025,Mathematical Sciences (MS),Submitted App,Did Not A/C
Plainsboro,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Admit-Coming,A/C
Jenkintown,Pennsylvania,United States of America,Fall 2024,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Ringwood,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Coming,A/C
Blackwood,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Deferred to Spring,Did Not A/C
Lowell,MA,United States of America,Spring 2025,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Littlerock,AR,United States of America,Fall 2024,Criminal Justice (MA),Admit-Not Coming,Did Not A/C
Sayreville,New Jersey,United States of America,Fall 2024,Computer Science: Scientific Computing (MS),Withdrawn,Did Not A/C
Piscataway,New Jersey,United States of America,Fall 2024,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Started App,Did Not A/C
Glassboro,New Jersey,United States of America,Spring 2025,Forensic Science (MS),Started App,Did Not A/C
Mays Landing,New Jersey,United States of America,Fall 2024,English (MA),Admit-Coming,A/C
Belvidere,New Jersey,United States of America,Fall 2024,Liberal Studies - Online (MA),Admit-Not Coming,Did Not A/C
Hi Nella,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Admit-Coming,A/C
Sewell,New Jersey,United States of America,Fall 2024,Liberal Studies (MA),Admit-Coming,A/C
Delran,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Not Coming,Did Not A/C
Farmington Hills,MI,United States of America,Fall 2024,"History (American, Global, Public) (MA)",Started App,Did Not A/C
Somerdale,New Jersey,United States of America,Fall 2024,Chemistry - Accelerated BA/MS (MS),Admit-Coming,A/C
Mountain Lakes,New Jersey,United States of America,Fall 2024,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Woodstown,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Withdrawn,Did Not A/C
Camden,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Withdrawn,Did Not A/C
Mount Ephraim,New Jersey,United States of America,Fall 2024,Criminal Justice (MA),Admit-Withdrawn,Did Not A/C
Medford,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Admit-Coming,A/C
Cherry Hill,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Coming,A/C
Atlantic Highlands,New Jersey,United States of America,Fall 2024,Chemistry - Accelerated BA/MS (MS),Withdrawn,Did Not A/C
South Plainfield,New Jersey,United States of America,Fall 2024,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Philadelphia,Pennsylvania,United States of America,Spring 2025,"History (American, Global, Public) (MA)",Admit,Did Not A/C
Hampton,New Jersey,United States of America,Spring 2025,Liberal Studies - Online (MA),Started App,Did Not A/C
Willingboro,New Jersey,United States of America,Fall 2024,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Trenton,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Withdrawn,Did Not A/C
East Stroudsburg,PA,United States of America,Fall 2024,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Salem,OR,United States of America,Spring 2025,English (MA),Submitted App,Did Not A/C
Cranford,New Jersey,United States of America,Fall 2024,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
South Plainfield,New Jersey,United States of America,Fall 2024,Liberal Studies - Online (MA),Admit-Coming,A/C
Blackwood,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Admit-Coming,A/C
Enfield,Connecticut,United States of America,Spring 2025,Liberal Studies - Online (MA),Started App,Did Not A/C
Ledgewood,New Jersey,United States of America,Fall 2024,Liberal Studies (MA),Admit-Withdrawn,Did Not A/C
Newark,New Jersey,United States of America,Spring 2025,Data Science (MS),Admit,Did Not A/C
Willingboro,New Jersey,United States of America,Fall 2024,Teacher Education - Spanish (MAT),Deferred to Spring,Did Not A/C
Browns Mills,New Jersey,United States of America,Spring 2025,Teacher Education - Spanish (MAT),Submitted App,Did Not A/C
Lambertville,New Jersey,United States of America,Spring 2025,Forensic Science (MS),Denied,Did Not A/C
Beverly,New Jersey,United States of America,Spring 2025,Biology (NOD),Started App,Did Not A/C
Shelley,ID,United States of America,Spring 2025,"History (American, Global, Public) (MA)",Complete App,Did Not A/C
Oradell,New Jersey,United States of America,Fall 2024,Liberal Studies (MA),Admit-Coming,A/C
Oradell,New Jersey,United States of America,Spring 2025,Liberal Studies (MA),Withdrawn,Did Not A/C
East Orange,New Jersey,United States of America,Spring 2025,Liberal Studies - Online (MA),Admit-Coming,A/C
Voorhees,New Jersey,United States of America,Spring 2025,Prevention Science (PHD),Admit-Coming,A/C
Ingleside,IL,United States of America,Spring 2025,Public Administration - On Campus (MPA),Admit,Did Not A/C
Jamaica,NY,United States of America,Spring 2025,Chemistry and Molecular Technology (MS),Denied,Did Not A/C
Hamilton,New Jersey,United States of America,Fall 2024,Liberal Studies - Online (MA),Denied,Did Not A/C
Wood Ridge,New Jersey,United States of America,Spring 2025,Business and Science - Computer and Information Sciences (NOD) Camden,Complete App,Did Not A/C
Cherry Hill,New Jersey,United States of America,Spring 2025,Computer Science: Scientific Computing (MS),Started App,Did Not A/C
Haddonfield,New Jersey,United States of America,Spring 2025,Teacher Ed - Supervisory Certificate (NOD),Started App,Did Not A/C
Lodi,New Jersey,United States of America,Fall 2024,Teacher Education - Spanish (NOD),Admit-Coming,A/C
Wenonah,New Jersey,United States of America,Spring 2025,"Teacher Ed - Teacher of Students with Disabilities, P-12 Certificate (NOD)",Admit-Coming,A/C
Columbus,New Jersey,United States of America,Spring 2025,Data Science (MS),Admit-Coming,A/C
Cherry Hill,New Jersey,United States of America,Spring 2025,Teacher Education (MAT),Started App,Did Not A/C
Waterford Township,MI,United States of America,Spring 2025,Data Science (MS),Admit,Did Not A/C
Willingboro,New Jersey,United States of America,Spring 2025,Public Administration - On Campus (MPA),Admit-Not Coming,Did Not A/C
Runnemede,New Jersey,United States of America,Spring 2025,Teacher Education (MAT),Admit-Coming,A/C
Chicago,IL,United States of America,Spring 2025,Data Science (MS),Submitted App,Did Not A/C
Cherry Hill,New Jersey,United States of America,Spring 2025,Teacher Education (MAT),Admit-Coming,A/C
Orange,New Jersey,United States of America,Spring 2025,Forensic Science (MS),Complete App,Did Not A/C
Pitman,New Jersey,United States of America,Spring 2025,Teacher Education (MAT),Started App,Did Not A/C
Murrieta,CA,United States of America,Spring 2025,Computer Science: Scientific Computing (NOD),Submitted App,Did Not A/C
Hopatcong,New Jersey,United States of America,Spring 2025,Childhood Studies (MA),Started App,Did Not A/C
Vero Beach,FL,United States of America,Spring 2025,Liberal Studies - Online (MA),Started App,Did Not A/C
Willingboro,New Jersey,United States of America,Spring 2025,Public Administration - On Campus (MPA),Admit-Coming,A/C
Manchester,New Jersey,United States of America,Spring 2025,"Teacher Ed - Teacher of Students with Disabilities, P-12 Certificate (NOD)",Started App,Did Not A/C
Madisonville,LA,United States of America,Spring 2025,Liberal Studies - Online (MA),Admit,Did Not A/C
Toms River,New Jersey,United States of America,Spring 2025,Liberal Studies - Online (MA),Admit-Coming,A/C
Cherry Hill,New Jersey,United States of America,Spring 2025,Data Science (MS),Started App,Did Not A/C
East Orange,New Jersey,United States of America,Spring 2025,Public Administration - On Campus (MPA),Submitted App,Did Not A/C
Deptford,New Jersey,United States of America,Spring 2025,Criminal Justice (MA),Admit,Did Not A/C
Philadelphia,PA,United States of America,Spring 2025,Liberal Studies - Online (MA),Admit-Coming,A/C
Manchester,New Jersey,United States of America,Spring 2025,Emerging Media (MPS),Admit-Coming,A/C
BALA CYNWYD,PA,United States of America,Spring 2025,Computer Science: Scientific Computing (MS),Complete App,Did Not A/C
Mays Landing,New Jersey,United States of America,Spring 2025,Criminal Justice (MA),Started App,Did Not A/C
Camden,New Jersey,United States of America,Spring 2025,Public Administration - On Campus (NOD),Started App,Did Not A/C
